,profile_id,lat,lon,prediction
115,3902142_158,-19.78357,-83.22531,0
116,3902145_19,-18.00477,-100.31984,0
117,3902165_7,-22.33806,-86.27208,0
118,3902389_9,-20.626,-109.83,5
119,4901054_256,49.017,-144.105,4
120,4901245_273,54.699,175.639,4
121,4901253_292,40.304,-133.638,6
122,4901409_231,34.461,-154.115,0
123,4901432_239,29.115,-161.092,2
124,4901434_257,32.303,-164.301,0
125,4901435_261,43.536,-149.439,4
126,4901439_262,33.516,-169.839,0
127,4901440_265,49.563,-137.107,4
128,4901542_199,27.328,160.298,7
129,4901565_183,49.969,-156.913,4
130,4901568_166,-2.212,-112.043,2
131,4901573_179,47.755,173.5,4
132,4901633_219,22.00414,-124.5505,2
133,4901637_209,21.91843,-111.7657,0
134,4901659_142,27.598,-158.305,0
135,4901659_162,27.856,-155.419,0
136,4901659_182,28.684,-155.445,2
137,4901733_216,52.42902374267578,-136.13616943359375,4
138,4901740_182,54.594383239746094,-136.71469116210938,4
139,4901769_160,57.24198532104492,-144.85987854003906,4
140,4901820_113,54.08417892456055,-140.09213256835938,4
141,4901821_88,48.593040466308594,-129.33734130859375,4
142,4901822_78,51.88490676879883,160.05128479003906,1
143,4902301_101,2.907,-118.389,2
144,4902302_88,8.186,-132.181,2
145,4902317_72,11.99472,-100.0484,2
146,4902317_85,11.23622,-98.18687,2
147,4902318_100,7.56904,-112.6529,2
148,4902318_55,7.2248,-110.08554,2
149,4902328_65,26.49759,-121.38459,0
150,4902329_48,18.61786,-117.8863,2
151,4902332_39,17.62592,-121.63628,2
152,4902332_45,16.93147,-121.26273,2
153,4902334_41,38.73288,-127.69568,6
154,4902360_106,30.923,179.616,2
155,4902360_142,30.196,175.322,7
156,4902361_125,52.35,-140.613,4
157,4902368_115,48.687,-139.443,4
158,4902370_77,30.307,-176.481,0
159,4902372_53,45.913,-170.937,4
160,4902373_83,43.266,-167.145,4
161,4902374_77,43.482,-167.844,4
162,4902376_41,47.186,-157.302,4
163,4902418_72,55.55023193359375,-142.97760009765625,4
164,4902434_25,49.80659103393555,-132.59823608398438,4
165,4902445_36,49.649139404296875,-144.50392150878906,4
166,4902464_0,54.18485641479492,-149.99620056152344,4
167,4902465_30,56.78376007080078,-145.09791564941406,4
168,4902896_95,38.452,-169.134,6
169,4902899_65,-11.979,-97.595,2
170,4902899_72,-12.366,-95.977,0
171,4902930_89,57.861,-176.533,4
172,4902938_38,49.599,-168.454,4
173,4902951_63,33.938,-147.089,0
174,4902999_27,2.825,-109.362,2
175,4903030_6,38.373,-151.577,0
176,4903031_43,34.708,-146.274,0
177,4903171_3,49.83,-151.562,4
178,4903177_8,2.962,-154.865,3
179,4903179_34,13.031,-154.684,2
180,4903180_17,-4.562,-144.813,3
181,4903195_3,27.911,-122.626,0
182,5900982_459,10.436,-179.098,2
183,5901299_409,17.659,-143.071,3
184,5901390_430,13.873,153.515,5
185,5901391_440,-11.852,-171.361,5
186,5901409_401,11.034,159.696,2
187,5901659_374,-33.268,167.329,0
188,5901691_348,-45.778,-133.003,6
189,5901816_403,-12.035,-159.868,5
190,5901865_368,14.31,159.976,3
191,5902221_346,18.715,161.194,5
192,5902231_350,5.177,161.587,3
193,5902239_320,-8.829,179.3,5
194,5902239_340,-9.002,179.231,5
195,5902240_342,-11.038,-169.858,5
196,5902242_353,22.819,-141.895,3
197,5902243_358,22.585,-166.951,3
198,5902384_138,-49.03215,-110.28453,4
199,5902384_170,-50.58329,-104.82824,4
200,5902385_124,-48.27912,-128.39014,6
201,5902387_161,-43.08723,151.86085,6
202,5902391_136,-33.06282,171.1436,0
203,5902396_144,-34.32425,-161.03332,0
204,5902398_123,-35.09249,-151.21498,0
205,5902408_144,-31.08926,-126.24618,0
206,5902411_101,-37.185,-138.82158,0
207,5902411_128,-39.25868,-138.08424,6
208,5902413_145,-22.29634,-143.37853,5
209,5902416_140,-23.41431,-154.86866,7
210,5902422_123,-12.40753,-146.48924,5
211,5902430_119,-28.15992,-173.76184,7
212,5902433_134,-21.10698,175.86749,7
213,5902433_141,-22.18537,175.59338,7
214,5902438_124,-43.2568,-171.30039,6
215,5902439_116,-51.91298,-133.67775,6
216,5902440_105,-45.13674,-164.19507,6
217,5902440_146,-48.8661,-167.97327,6
218,5902459_93,-44.99281,-178.42798,6
219,5902469_108,-45.61534,153.2951,6
220,5902469_64,-48.0871,156.13937,6
221,5902471_81,-49.95988,147.9975,6
222,5902472_105,-34.99748,-170.66587,0
223,5902472_113,-34.3403,-171.66276,0
224,5902476_72,-31.05535,-175.60381,0
225,5902481_102,-35.66595,128.87941,0
226,5902495_86,-49.81705,141.36689,6
227,5902505_64,-45.00298,128.62322,6
228,5902514_88,16.11375,161.02623,5
229,5902521_63D,-38.76801,129.10045,6
230,5902521_79D,-38.19737,129.85768,6
231,5902528_37D,-30.5422,-166.78925,7
232,5902529_62D,-32.53804,-158.11891,0
233,5903261_330,-37.69,-117.12799999999999,6
234,5903298_277,-42.354,-84.264,6
235,5903353_270,-34.066,-162.823,0
236,5903410_277,-16.329,-107.363,3
237,5903413_238,-36.544,162.459,0
238,5903413_256,-40.953,160.882,0
239,5903416_264,-18.98,-147.241,5
240,5903429_224,20.354,123.286,5
241,5903443_279,-21.212,-140.995,5
242,5903555_266,31.586,-165.84,0
243,5903562_246,20.497,-142.078,3
244,5903569_273,-20.535,-155.625,5
245,5903572_250,-15.636,-149.456,5
246,5903583_265,-19.238,174.473,5
247,5903595_250,36.14,-140.949,0
248,5903601_240,42.676,-127.455,6
249,5903603_266,30.26,-145.104,0
250,5903639_282,-38.041,153.331,0
251,5903651_307,-17.44,153.547,5
252,5903653_286,-43.999,157.963,6
253,5903657_279,-42.565,155.072,6
254,5903700_258,-13.539,-164.27,5
255,5903701_286,-13.551,178.185,5
256,5903701_291,-14.522,177.167,5
257,5903741_236,22.974,-146.484,0
258,5903808_221,21.252,141.994,5
259,5903830_274,29.189,-160.891,0
260,5903840_227,5.563,174.194,3
261,5903899_210,-42.928,-155.395,6
262,5903902_247,-44.801,-101.411,6
263,5903903_211,-37.794,-101.219,6
264,5903905_205,-25.983,-121.869,7
265,5903959_209,-41.09,-75.212,6
266,5904044_224,-1.751,-124.352,2
267,5904111_202,-27.813,172.725,7
268,5904157_249,-67.68329794584014,-156.47406928291318,1
269,5904161_236,-71.512,-157.836,1
270,5904161_255,-71.09,-160.442,1
271,5904162_259,-70.30058433030138,-125.87975595342039,1
272,5904183_173,-69.591,-167.076,1
273,5904186_209,-52.33,-106.142,4
274,5904190_230,0.327,161.022,3
275,5904194_227,-65.74529,-103.19531,1
276,5904197_198,-57.84144,-107.18021,1
277,5904197_236,-55.89499,-80.3391,4
278,5904199_212,-51.13628,-178.36332,4
279,5904199_230,-51.83092,-178.58796,4
280,5904200_220,-65.06814,-127.12161,1
281,5904234_199,-59.991,-129.371,1
282,5904234_227,-67.176,-107.63999999999999,1
283,5904235_219,-57.591,-128.463,1
284,5904236_232,-41.165,-164.41,0
285,5904256_185,-39.599,164.514,0
286,5904260_219,-35.169,164.748,0
287,5904261_188,-41.079,138.056,6
